,t,y,x
0,0.83152,1.0,1.0
1,1.83123,1.009433962264151,1.0067114093959733
2,2.83165,1.009433962264151,1.0134228187919463
3,3.83178,1.0,1.0201342281879195
4,4.83151,1.0,1.0335570469798658
5,5.83173,1.0,1.0335570469798658
6,6.83164,0.9905660377358491,1.0469798657718121
7,7.83105,0.9905660377358491,1.0604026845637584
8,8.83178,0.9811320754716981,1.0738255033557047
9,9.83187,0.9716981132075472,1.087248322147651
10,10.83192,0.9622641509433962,1.1006711409395973
11,11.83167,0.9622641509433962,1.1073825503355705
12,12.83191,0.9528301886792453,1.1208053691275168
13,13.83175,0.9528301886792453,1.1342281879194631
14,14.83164,0.9433962264150944,1.1476510067114094
15,15.83232,0.9433962264150944,1.167785234899329
16,16.83168,0.9433962264150944,1.174496644295302
17,17.8322,0.9433962264150944,1.1812080536912752
18,18.83226,0.9339622641509434,1.1946308724832215
19,19.83244,0.9245283018867925,1.2080536912751678
20,20.83199,0.9245283018867925,1.2281879194630871
21,21.83213,0.9245283018867925,1.2416107382550337
22,22.83254,0.9150943396226415,1.2416107382550337
23,23.83223,0.9150943396226415,1.261744966442953
24,24.83218,0.9150943396226415,1.2751677852348993
25,25.83235,0.8962264150943396,1.2818791946308725
26,26.83176,0.8867924528301887,1.2953020134228188
27,27.83264,0.8867924528301887,1.308724832214765
28,28.83178,0.8867924528301887,1.3154362416107384
29,29.83311,0.8773584905660378,1.3288590604026846
30,30.83258,0.8773584905660378,1.348993288590604
31,31.83263,0.8773584905660378,1.3624161073825503
32,32.83321,0.8679245283018868,1.3758389261744965
33,33.83267,0.8584905660377359,1.389261744966443
34,34.83309,0.8584905660377359,1.395973154362416
35,35.8324,0.8584905660377359,1.4093959731543624
36,36.83259,0.8584905660377359,1.429530201342282
37,37.83209,0.8584905660377359,1.436241610738255
38,38.83264,0.839622641509434,1.4563758389261745
39,39.83327,0.839622641509434,1.4630872483221478
40,40.83248,0.839622641509434,1.476510067114094
41,41.83268,0.839622641509434,1.4899328859060403
42,42.8324,0.839622641509434,1.5033557046979866
43,43.83301,0.839622641509434,1.5100671140939597
44,44.83261,0.8301886792452831,1.516778523489933
45,45.83278,0.8207547169811321,1.5302013422818792
46,46.83296,0.8207547169811321,1.5436241610738255
47,47.83242,0.8113207547169812,1.5503355704697988
48,48.83284,0.8113207547169812,1.570469798657718
49,49.83305,0.8018867924528302,1.5771812080536913
50,50.83292,0.8018867924528302,1.5906040268456376
51,51.83325,0.8018867924528302,1.604026845637584
52,52.83293,0.8018867924528302,1.6174496644295302
53,53.83314,0.8018867924528302,1.6308724832214765
54,54.83341,0.8018867924528302,1.6375838926174497
55,55.83335,0.8018867924528302,1.651006711409396
56,56.83317,0.8018867924528302,1.657718120805369
57,57.83323,0.7924528301886793,1.6711409395973154
58,58.83351,0.7924528301886793,1.6845637583892616
59,59.83372,0.7830188679245284,1.7046979865771812
60,60.83339,0.7830188679245284,1.7114093959731544
61,61.83336,0.7830188679245284,1.7248322147651007
62,62.83408,0.7830188679245284,1.738255033557047
63,63.83341,0.7735849056603774,1.7516778523489933
64,64.83321,0.7735849056603774,1.7583892617449663
65,65.83315,0.7735849056603774,1.7651006711409396
66,66.8333,0.7641509433962265,1.778523489932886
67,67.83337,0.7641509433962265,1.7919463087248322
68,68.83364,0.7547169811320755,1.8053691275167785
69,69.83329,0.7547169811320755,1.8120805369127517
70,70.83293,0.7547169811320755,1.825503355704698
71,71.8338,0.7547169811320755,1.8389261744966443
72,72.83307,0.7452830188679245,1.8456375838926173
73,73.83351,0.7452830188679245,1.8590604026845639
74,74.83382,0.7452830188679245,1.8657718120805369
75,75.83364,0.7452830188679245,1.8791946308724832
76,76.83377,0.7452830188679245,1.8926174496644295
77,77.834,0.7452830188679245,1.9060402684563758
78,78.83449,0.7452830188679245,1.912751677852349
79,79.83403,0.7452830188679245,1.9261744966442953
80,80.83411,0.7358490566037735,1.9395973154362416
81,81.83414,0.7358490566037735,1.9463087248322148
82,82.83338,0.7452830188679245,1.9597315436241611
83,83.83404,0.7264150943396226,1.9731543624161074
84,84.83422,0.7169811320754716,1.9865771812080537
85,85.8339,0.7169811320754716,2.0
86,86.83397,0.7169811320754716,2.0134228187919465
87,87.83414,0.7169811320754716,2.0134228187919465
88,88.83433,0.7169811320754716,2.033557046979866
89,89.83476,0.7169811320754716,2.040268456375839
90,90.83521,0.7169811320754716,2.053691275167785
91,91.83428,0.7169811320754716,2.0671140939597317
92,92.83413,0.7169811320754716,2.0805369127516777
93,93.83433,0.7169811320754716,2.087248322147651
94,94.83403,0.7169811320754716,2.0939597315436242
95,95.83411,0.6981132075471698,2.1073825503355703
96,96.83409,0.6981132075471698,2.120805369127517
97,97.83456,0.6981132075471698,2.12751677852349
98,98.8346,0.6981132075471698,2.140939597315436
99,99.83457,0.6981132075471698,2.1543624161073827
100,100.83458,0.6981132075471698,2.161073825503356
101,101.83413,0.7075471698113207,2.174496644295302
102,102.83484,0.6981132075471698,2.1879194630872485
103,103.83448,0.6886792452830188,2.2013422818791946
104,104.83404,0.6886792452830188,2.208053691275168
105,105.83422,0.6886792452830188,2.214765100671141
106,106.83487,0.6792452830188679,2.228187919463087
107,107.83461,0.6792452830188679,2.2416107382550337
108,108.83456,0.6886792452830188,2.248322147651007
109,109.83462,0.6886792452830188,2.261744966442953
110,110.83465,0.6886792452830188,2.2751677852348995
111,111.83456,0.6792452830188679,2.2818791946308723
112,112.83467,0.6792452830188679,2.295302013422819
113,113.83438,0.6792452830188679,2.302013422818792
